sentiment,content
0,cant talk well remembering something said me good thing fucking bully nasty piece work arrrrgrrrrrr
0,tiataquito stop
1,watching jay leno s nd last tonight show gone day without leno like four years
0,got home downtown dead plus im kinda weather gotta get work tomorrow
0,yesterday friend mine thrown horse lorry drove past u ignoring u signaling slow
0,ready go work now cannot bothered
0,hate working night co i m really able enjoy gorgeous weather asleep
0,really stop relying family say going get lunch
0,changed hairstyle but good supposed n wealth much money hate hairdresser
0,erica know right
0,roshnimo yup sad eh betty man betty
0,polyap pol song new album really missing udd
0,tired summer already
0,feel really sick
0,trentskers pfftt wish time though
1,assembled ive haha
0,mom asking i m feeling better dargah visit dad swears see ve quot change quot amused yeah still depressed
0,song make want cry
0,ashleygofficial aww dont cry ashley
0,sibling left alone bored
1,biggest headache right now washed hair wif mum s shampoo gross like shampoo way better
0,bus almost hour late crappy alarm clock leeuwarden
0,wish grandmother taken u
0,noiselesssound heard regina girl song le deux think u should have come back mc miss u
0,bummed didnt get see manchester orchestra bc sold out spent night buying tv show itunes lame
0,well thats day watching panther tonight beat saint finger crossed cause qld team playing round
0,krista watson can t weekend sorry steph working
1,heading home now yay going buy much needed bottle wine drink dinner wallet mia wine tonight
0,got home im effin sad
0,lizz xx cheer lizzi b another foh hero concert still suppose b upset xoxoxo
0,zackintoys sadly hopeful american doll posse blah vacant dynamic
0,mommasalty that s miserable afterparty report
0,excited blowing another candle today a kid
0,sigh it s always sad watch series finale no green wing left watch
0,got brainbone daily question wrong http bit ly ddt
0,fam back big island said vog bad can t see ocean sad
0,sunny morning big k lawn mow mile run attempt urgh
0,usouljah ohh emmm geee souvlaki dimitris i wanna go homeeee lol
0,want milk
0,madeleinelaurin why cat pain
0,aww poor tank friend guild fucking promising main ot barely even get go now
0,franksting yeah dry
0,god piss always enter comp amp never win i sore loser
0,canï¿½t stop loosing worst month result ever bubble two time row
0,time bed oh wish someone laying next
1,captainboots faking it hahaha i kid
0,today going normal day hope group pilot large airline come last night much drink
0,omg sore shoulder
0,irkengir no result salary decrease
0,get tonight s sytycd online anywhere streamed like hulu paid like itunes missed favorite judge can t sleep
0,feel sick like wanna get bed bothered go work turn da light off pull da shade n tv type sick
0,yelainez oist st tym di pa ko nd tym may sakit na siya blame
0,close library due great weather ac working fb
0,time house chore ugh
0,getting ready school reading what s going set montepulciano practically cry cause i m
1,pourmecoffee th grade spelling bee went trailing flame st word county spelling bee http post ly geb
0,missing taylor like crazy cant wait till he s back
0,good day till twisted ankle two mile run
1,believe it tomorrow night jay leno s last episode tonight show encourage everyone watch welcome conan
0,terrencej yooo rainin dumb hard out
0,changed hairstyle but good supposed be n think wealthed much money hate hairdresser
0,jthaessica yeah dnt go there dif apps phone sad reason lol
0,um k close eye song always make cry bc mom gone lt anyway
0,smellthecheese know sad
1,bought new combo printer costco today officejet j cause cheaper ink old one window like fax part
1,wake early goddam last day bummer
0,dj cm drink enough hangover tired worked
0,awoke completely freaked frantic frenzy going long night
0,where s enthusiasm meeeee
0,drinking really nice coffee got go dentist am morning
0,jessereed u watch day earth stood still u see bye u got d c im sad left ur gone ily lt
1,tifftiff sad glad
0,depechemode concert next week cancelled alternative date known yet dave gahan tumor
0,am can t sleep thought b c im hungry whipped pb amp j milk hopefully work
0,tweet last hour nobody like tweetboard
0,i m bored barely even tweet nothing talk about boredboots
0,head killing me keep sneezing think boyfriend fell asleep greaaat
0,roughnight
0,tired climb bed fall asleep hope weekend fun couple week left
0,bad day got worse
0,irkengir recession
0,meikah hala know one shame me
1,goodmorning yall woke early
0,moro end stay grandma bad shes ny ft laud a weddin florida fun miss home spike car lol
0,godfatherobie i m work missed everythin yesterday know wot anybody
0,fell asleep waiting ride
0,today feel like friday bad
0,im gettin complex follower shrinking want make b sunday
0,underpaid really need well
0,adamastorlx ohyeahhh hate heat http twitpic com a
0,sashaostrikoff miss
0,feeling bad muemerry didnt get see
0,disappointment really suck i m getting used it
1,sharktailypp red font top nice put old entry
0,season lie serious damn come wait
0,mean monday take test monday please please
0,summerxoxo that s exactly feel hope start feeling better soon
0,birthday over
0,work tired want go bed
0,msalonen feel like truck hit too also resemble man hit truck
1,ahhrjay useless tweet lol jk yay coming tmr long u gnna phils
0,jazzy miss neice can t wait see bad n grown as lol
0,holy shit super sunny friday whitsun tube deeeesearted wish park http tinyurl com nsl
1,soo happy frustrated time s ohh noo britney recording new video radar sooo exxciiteed
1,booya sup tweeps happy infamous day all get soon can t wait play need find time though
1,terrencej i m wit cha got home da reggae club wishin sexin somebody
0,ugh talk someone i m really bored
0,sleeping street nyc celebrity nothing new wish huge blanket though
0,splitting headache
0,omg period cramp ftl much pain
0,shortstackband grrrrrrrrrrrrrrrrrrrrrrrr
0,using tiffys computer it feel different mine touch different
0,bummed missing rock climbing trip next week
0,stuck shitty traffic day going crap
0,sick stomach headache wish someone could come rub temple
0,good start day left money home i ll hot day looking free carparks
0,deathnerd ah man that s suck happened that s prompting reinstall
0,farctum oh poor thing hope easily sorted out and expensive
0,lil maggie okay miss tanyadenalilove im sad didnt text todayh
0,wordsaftersex hurt
0,heavily medicated can t sleep ugh
0,grrrrr fuck remembered i m later shift today work another hour wasted lay opportunity
1,dreading going work but it friiiiiday whoop
0,dontletgo home im lonely here
0,love baby hurt me hurt me more want watch night ruxbury right now
0,early
0,computer killed combo mirror edge really poor win thermal management c gpu one sad game
0,kingsrockandrol i m bit zoe co i m bed soon miss gorgeous weather today x
0,tummy hurt go away cramp hate chuu
1,wanna go dbsk oppa s mirotic concert thailand really wanna go muchhhhh burst tear
1,rettema quot might interested quot thanks wa came saw winced much like flatland http bit ly fy
0,lost voice torture
0,pretty cold outside today got another exam
0,lmhustlelife shit none yea last weekend crazy think partied hard thats im sic
0,itstayloryall im sad missed family reunion
0,remnant missed everyone tonight
0,ugh two week push produce six pack produced nothing pain
0,ooh feel sleepy a m dont wanna go school day to
0,lovereed thx girl woke up cnt believe i m sick fever wish could pound nyquil suck
0,donald jackson already there s none left back cabbage soup
0,wrong button music biz building is
0,flu swinish one flu
0,really annoyed work appear blocked facebook now
0,friday well technically anyway but really thursday me dang work saturday morning
0,min bej semanggi traffic friday siggghh
0,ayebloodyright taking soul friend family watching die nightmare trust
0,missin bro
0,darynjones youtube account down
1,sueveeyall haha wish could
0,still sick home http loopt u iarprg t
0,feeling great today
1,warwick castle http snurl com izzau amazing devon week no internet update
0,hate feeling get listen song completely reminds thing used amp get emotional
0,ever come across something reminds alot one person completely broke heart cause
0,ria got g phone im jealous
0,party wiped dead stuff
0,branwen i m better today yesterday really hard still unbelievable miss him too probably always will
1,good morning people good old germany soooo cold
1,sunnyphoenix like no n tha dj comp hella wack gud dj got free gud
0,lonely need company
0,dameenrouge tara thai time friend s birthday food pretty bad
0,hate continually getting sick whenever exam
0,want ride bicycle today cold cloudy today http snipurl com izzsn
0,stupid weather
0,cant girl like whats walet
0,good morning beautiful today shame i m going spend day unpaid taxi driver
0,overshoottv thx old computer here slow kubuntu blender really
0,telstra biggest teleco greedy need fast internet download cap
0,velf missed last night hon
1,wish would call hc
0,ab normal shuck sorry sometimes get wrapped fb forget check doin
0,apparently misplaced ipod gb
0,disappointed gonna sleep off
0,am foodshopping cause sick day hospital alone blow
0,heavenlykevinly go sleeeeeeepz
0,seriously heartbroken
0,nellagrl being lonely time
0,drinkins i m suffering internet work bad site hosted russian server available
1,life beautiful morning think better way ruin work
0,ouch epic bruise toe lump ankle bad time
0,epic ocd moment deleted sims file spent hour building set favorite food wrong
0,heading home could really done without banging head way bus
0,also hit chin something fell hurt ugh work gonna suck
0,uni work weekend fun time
0,enzo blech thats fail receiving dollar quoted job usd last month i m getting paid major loss
0,aliwise tmz harvey levin type tmz find people
0,first time i m going home early suck b single one call
1,wish nicky home
1,hmm osaka last show today very sad decode ur msg haha cant wait till u get sydney d missed ticket tho o xx
0,veronicasmusic guy coming back tour oz missed earlier year made sad
0,hmm i m disappointed made serving able enjoy one stomach full wishing company help
0,taking foreverrr jess get im bored
0,cold
0,waste life http tr im mlou
0,mjh know man day pulling bed
0,yenbearr yi ryke it
0,i m havin stupid stomach pain amp again today outing sph frenz amp stomach nvr fails dissappoint me haiz
0,impossible
0,boo season finale
0,opheliapunk nothing sad actually
1,huhuhu still working get new client motion graphic
0,vzzzbx i m glad sad me my iphone badoptus
0,like friend hurt u love friend feeling arent same trying sleep really try give up
0,thelastdoctor creepy first really grow like him cried like baby tosh died
1,googledocs folder instead label like gmail kind like label
0,going post office try sort whole ebay hacker thing
1,lara yeah good erm entertainment
0,bacon fail gulb lack chef
0,chantalclaret d get hate tweet that s sasd
0,suprisingly okay possibly still drunk goodbye suck though
0,wanna go
0,overwhelming i m finally catching cousin bff since three seen year ah memory miss
0,sf felt way intense tonight hope keep up upset hanging fascinated pearl
0,divabat sorry hear that lost two hard drive year know feeling
0,many farewell party sad see people leaving
0,i m sleepy feeling weather ugh damn tonsil need company somebody talk too
1,mileycyrus would totally take prom if hadnt already gone sorry lol
0,im ho didnt go tigerheat tonite
1,rashidian come hang wif meeee
1,hmmm thinking taking back feel better morning think spoke early
0,macabre hard believe dropped real nuclear weapon real japanese human http ow ly nru warisfucked
0,opheliapunk wish bummed kinda
0,notmywords yup unfortunately took today work slept day
0,feeling bored miss school time
0,etschuetz sux mayb btr u nvr know
0,cant sleeeeep amp miss long hairrr
0,mom ok far missing jaron
0,awful hiccup today can t fall asleep
1,pyroezra know wish would wanna cuddle sleeep ga go world coke
0,use twitter quit life
0,listing old jb music going bck amp lt miss tht
0,woke amp can t go back sleep txt bff sayin call me sound important hour ago
0,truss failing http yfrog com upj
0,trending topic twitter used useful they re like middle schoolers passing around note cause class boring
0,helloinsightful cereal doesnt come toy anymore jus thinkin buyin wrong kind say aint mo
0,mosquito truck waking
0,another boring meeting attend
1,carocat nooo hey back next week moving back good
1,ykesha yeah also paper one final left algebra amp take birthday june
0,damn missed xsparkage s blogtv hope funsies
0,i m torn get extended warranty iphone mine run out jailbreak i ve already got problem battery amp earpiece
0,friday night fav night week go stupid dog training class
0,xbellamariex hello bella r going delete account
0,nicolepenney suck i m going summer school need catch several unit
0,damn got turn alarm woke am
0,miss cary want drink chocolate milk him
1,faeriequeen saw hamlet update excellent news never good live though
0,im ill hate it seeing doc
0,jasonvonberg thats crazy part reason include quot full schedule quot amp quot travelling daughter quot so not cool
1,can t work twitter phone we re bed thinking funny stuff last night l good time
0,approaching weekend quite quickly much work left do
0,im sad im giving first i didnt nothing
0,disturbed sold baby tiger met thailand exotic pet greedy bastard
0,i m naughty cant even take dog sit amp watch proper dog owner it bruno life ever same
0,also anyone else hayfevery today i ve awake min sufferin already
0,i m glad got cleared up lah you idk linda hate though
0,alexandramusic morning alex hope tweeting lot today miss xx
0,theerealfdhc sorry hear man bullshit cant reach now heart go family
1,nmaize lucky rob always gettin t s emalon
0,im cold still cant find hoodie
0,um arent episode lost season abc good thing im going vega keep distracted tragedy
1,going back manila evening trip cebu bitin
0,kristie same going try warm milk i m lactose intolerant haha
0,mom left
0,chapter probably monday still need comment
1,drewpeacock cool dude yeah hoping rate still lol yeah sure ill mar par birthday dinner
0,need retail therapy bad ahhh gimme money geebus
0,cant sleep tired goodnight maybe
0,dtothealex really i m alumnus know myself mac yet there
0,back la la vagas nice trip nice food but lose slot machine
1,morning twitties heading college back doc god i m hungry streching ear today mm payday love you
0,wowowee willie fortune making depressed damn love
0,watching jimmy f delete social network profile jimmy cyber time
0,desperately wishing could sleep frazzled gma can t sleep really bad tonight xx
0,allowed calculator exam despite containing lath impossible compute head
0,hour sleep mild hangover carelessness loss brand new ipod pouch
0,wee laddie s upset hour tried soothing bed nursing etc nope am real food blue clue now
1,playing skate two hour need get actually skate late
1,mitch iso too adorable could tell pressure got her
0,madeofhoney im sorry dont wanna cuz u act u turn right around ignore
0,ugh id better get work
0,lip pierced minute died
0,everything workout planned
0,aww minute left family guy
0,wanted see story acorn tonight glen beck missed
0,tv arrived can t play co go stupid work
1,darealsunisakim there s ding tai fung sydney aswell making want dumpling
0,going bed with sexy time ughhh
0,sometimes pillow sometimes
0,kpatthethird fml dad didnt leave moneyz wait till get home call finish work
0,miss feb rd best night whole entire fucking life i d rather re live night win million
0,harneet rangitanandy kid remember searching local video store owner godown got video tape fungus badluck
0,freakyfriday slipped shower fell lucky escape couple concussion
0,damn failed assassination attempt louis re http ff im mrim
0,displayspook damn missed
0,still awake smh suck
0,headache cold
0,headache killing yet need cover boring police event
0,i m sooo lost without car truly depressing pregnant people never stressed out
0,jessiimiica like saddest person jtv right
0,heathrow connect ï¿½ i thought bargain express but terminated hayes harlington take bus
0,brookedanielle upset becasue like year loved happens imm really uset x
0,marley saddest movie ever never cry movie movie mad cry
0,looking forward seeing paparoach raleigh fan year nb too scalper took tix sell moron
0,chasssss got attacked club
0,xxsteebiexx lol know wld like get reply seann william scott dont reply he one favourite actor
0,i m mad im going missing maine tomorrow take effing day fly florida
0,google wave presentation http bit ly ehfov i m impressed nice really
0,fixed favourite heel fell wear
1,one all time favorite episode quote officeus http bit ly armj
0,nice action shot http bit ly mzfx miss working pole
0,going entertain request reducing shipping cost using registered post instead courier on
0,going miss roomie staycy longer roomy starting tomorrow
0,dreading work tomorrow wish one day
0,mizzlalabaybii kewsboogie im lonely right now maybe sade got feeling like
0,tired anxious
1,chilled room baby book missed bro leavin really cool stripper shirt said suppoort single mom funny
0,burfday i m alone
0,joelmadden applaud accepting gay marriage rels born hate it
0,headache
0,alma want somebody hold alma tear tear
0,beginning get way hard please friend
0,mrdeniro wish someone would inspire sexy time right ugh thats gonna happen ugh
0,mood
0,i ll miss th floor view
0,i m awake can t get back sleep
0,feel really really bad sorry
1,sleep take two this better work
0,elmers miss u
0,hellenbach geek stepson live nanny love bgt can t stand it watch tv upstairs alone
0,enjoying nice couple dad brother bad never really see anymore
0,got finished watching marley me cried like fucking baby i m missing beast like crazy
0,phone passed away yesterday jumped table searching new phone
0,oh god twitter feed taken geeky stuff bmw brampitolo kodinlanewave kenkeiter funny wish understood
0,nobody love twitter
